37 1
Time_s   F0_Hz
4.060544   261.276480
4.070544   261.447029
4.080544   262.737968
4.090544   263.176642
4.100544   260.208195
4.110544   258.420697
4.120544   257.538510
4.130544   253.992244
4.140544   249.192545
4.150544   247.074456
4.160544   246.503220
4.170544   245.855649
4.180544   244.757417
4.190544   244.368088
4.200544   244.533763
4.210544   240.679575
4.220544   221.364298
4.230544   231.750067
4.240544   234.299262
4.250544   233.578333
4.260544   235.597003
4.270544   236.719216
4.280544   235.357907
