Time_s   F0_Hz
2.415490   245.992212
2.425490   239.739529
2.435490   233.895657
2.445490   229.200192
2.455490   225.215838
2.465490   223.421695
2.475490   222.233644
2.485490   220.298520
2.495490   218.221390
2.505490   216.017413
2.515490   213.990945
2.525490   211.543518
2.535490   210.125885
2.545490   208.342732
2.555490   207.398602
2.565490   205.977860
2.575490   204.957129
2.585490   204.098421
2.595490   203.279526
2.605490   202.345681
2.615490   201.610393
2.625490   201.236132
2.635490   201.282853
2.645490   200.640062
2.655490   200.924406
2.665490   201.497472
2.675490   202.466564
2.685490   203.478374
2.695490   204.583428
2.705490   205.670661
2.715490   206.336760
2.725490   206.768523
2.735490   206.557006
2.745490   206.378464
2.755490   206.430853
2.765490   206.964076
2.775490   207.038816
2.785490   206.438921
2.795490   205.929363
2.805490   206.291934
2.815490   215.367683
