44 1
43 1
Time_s   F0_Hz
0.591500   323.107889
0.601500   319.340994
0.611500   301.185520
0.621500   293.846000
0.631500   282.601948
0.641500   264.414125
0.651500   255.837834
0.661500   252.748274
0.671500   250.810437
0.681500   249.817958
0.691500   249.413053
0.701500   248.797375
0.711500   246.637229
0.721500   244.676555
0.731500   242.737247
0.741500   241.638147
0.751500   241.770603
0.761500   242.456864
0.771500   242.564315
0.781500   242.673882
0.791500   242.700195
0.801500   242.145002
0.811500   241.908443
0.821500   242.114741
0.831500   242.283103
0.841500   242.041418
0.851500   242.059206
0.861500   241.985640
0.871500   241.856512
0.881500   241.185741
0.891500   240.367678
0.901500   239.943217
0.911500   240.121552
0.921500   239.675015
0.931500   239.198415
0.941500   242.115582
0.951500   244.077051
0.961500   242.527945
