Time_s   F0_Hz
3.065490   251.196264
3.075490   242.954783
3.085490   246.275083
3.095490   250.402313
3.105490   251.765718
3.115490   251.340763
3.125490   251.239676
3.135490   250.254030
3.145490   248.914942
3.155490   247.223751
3.165490   246.460854
3.175490   244.823817
3.185490   244.042825
3.195490   243.251886
3.205490   242.806839
3.215490   241.541817
3.225490   239.130805
3.235490   236.364677
3.245490   232.430550
3.255490   229.153392
3.265490   224.518377
3.275490   219.942910
3.285490   216.325546
3.295490   211.749129
3.305490   209.301537
3.315490   208.130429
3.325490   207.798069
3.335490   207.352516
3.345490   206.975691
3.355490   207.716337
3.365490   208.319869
3.375490   208.504161
3.385490   209.781472
3.395490   213.240803
