7 3
Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
2.402750   96.453622
2.412750   96.855307
2.422750   96.520231
2.432750   95.327816
2.442750   95.584743
2.452750   94.568933
2.462750   93.702536
2.472750   93.310051
2.482750   93.330972
2.492750   92.941016
2.502750   92.393126
2.512750   92.119219
2.522750   92.010972
2.532750   91.457099
2.542750   91.307791
2.552750   90.969409
2.562750   90.392749
2.572750   90.557235
2.582750   90.983081
2.592750   91.172613
2.602750   92.790063
2.612750   93.560537
2.622750   94.452189
2.632750   96.414306
2.642750   98.133846
2.652750   100.167867
2.662750   103.057669
2.672750   106.392957
2.682750   107.660266
2.692750   110.577019
2.702750   111.693750
--undefined--   --undefined--
--undefined--   --undefined--
