21 4
Time_s   F0_Hz
4.554500   152.850564
4.564500   154.671624
4.574500   154.775956
4.584500   154.478722
4.594500   153.365261
4.604500   151.445499
4.614500   148.425579
4.624500   144.936380
4.634500   140.600227
4.644500   135.426325
4.654500   131.768144
4.664500   129.077437
4.674500   125.697235
4.684500   123.345524
4.694500   122.927643
4.704500   121.745577
4.714500   119.355819
4.724500   117.808687
4.734500   116.601150
4.744500   113.844073
4.754500   113.282171
4.764500   112.666751
4.774500   110.786715
4.784500   112.586357
4.794500   115.958124
4.804500   114.054241
4.814500   117.046979
4.824500   120.082226
--undefined--   --undefined--
--undefined--   --undefined--
