Time_s   F0_Hz
1.083500   105.868474
1.093500   105.480818
1.103500   105.194108
1.113500   105.331646
1.123500   105.024838
1.133500   103.669862
1.143500   102.360042
1.153500   100.424767
1.163500   101.208113
1.173500   101.176004
1.183500   101.401381
1.193500   103.111316
1.203500   101.951071
1.213500   102.642900
1.223500   102.956369
1.233500   105.133288
1.243500   105.946883
1.253500   107.449230
1.263500   108.340192
1.273500   108.031888
1.283500   108.502008
1.293500   109.827896
1.303500   110.383198
1.313500   111.219717
1.323500   111.851159
1.333500   112.837246
1.343500   113.745519
1.353500   114.476439
1.363500   115.650448
1.373500   117.046702
1.383500   118.089905
1.393500   118.286399
1.403500   118.189371
1.413500   118.097985
1.423500   115.518248
1.433500   113.204239
